,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-1053796.23500266,288157.990322433,-3.65700855223038,0.000296606161468547
lava_jatoS,-22165.8151752322,7340.63561894751,-3.01960434025879,0.00272720304343301
ds_generoMASCULINO,4198.22570625453,11292.3102336746,0.371777397129515,0.710295760405497
ds_cor_racaoutro,27648.5672573396,11735.3797367311,2.35600107347195,0.0190537309074829
ds_cor_racaPRETA,-9707.55957138744,13430.1128987176,-0.722820399545142,0.470299110765022
sg_ufAL,-53033.5762079557,29299.5204595378,-1.81004929009655,0.0711922097198022
sg_ufAM,-94778.6048614551,37781.7125650758,-2.50858413837666,0.0125978165348956
sg_ufAP,-3808.19519519267,11308.9598923844,-0.336741418435584,0.736524595108126
sg_ufBA,-62798.7442275241,28321.0409211913,-2.21738828040515,0.0272733642170188
sg_ufCE,-74700.1553985547,34113.649180629,-2.18974390581974,0.0292383204610206
sg_ufDF,-68686.2882974235,20562.4227761058,-3.34037914915547,0.000931875396390845
sg_ufES,-73206.5985510981,21172.4896427825,-3.45762826130623,0.000615881873283441
sg_ufGO,-76725.5264963014,24924.6003918404,-3.07830518002684,0.00225527983651825
sg_ufMA,-47953.8522530586,22053.4096140843,-2.1744416438188,0.0303777397937094
sg_ufMG,-79007.6916525435,27724.4942143052,-2.84974330070113,0.00464875494539712
sg_ufMS,-34960.6686753333,18627.4978323748,-1.87683117667963,0.0614180868686524
sg_ufMT,-206731.905123569,18948.3044842115,-10.9103115424299,6.8674460487701e-24
sg_ufPA,-50823.9363492658,25479.1537880254,-1.99472622882601,0.0468899788094994
sg_ufPB,-76377.8279626017,32639.125707101,-2.34006966510089,0.0198721041451108
sg_ufPE,-90741.4322816209,31733.2621422095,-2.8595053315027,0.00451142667097331
sg_ufPI,-36040.0325572338,23990.199178071,-1.50228150628183,0.133974946400726
sg_ufPR,-93991.3643645388,27117.4902128028,-3.46607903706972,0.000597503544824474
sg_ufRJ,-77485.5706077212,22440.5749166303,-3.45292270343297,0.000626342966644567
sg_ufRN,-71589.1379912585,28428.9965224604,-2.51817322974095,0.0122663357594615
sg_ufRO,-61024.9704159646,16984.3466565509,-3.59301253383375,0.00037635665806897
sg_ufRR,4704.6105116422,10795.1906214014,0.435806154484696,0.663260596529008
sg_ufRS,-60581.044897909,26789.3272833181,-2.26138731507578,0.0243818949060551
sg_ufSC,-46043.9416541314,18894.0543180128,-2.43695402157466,0.0153363707673867
sg_ufSE,-91887.5681667789,24159.988459225,-3.80329520114871,0.000169916108234908
sg_ufSP,-59809.0208914241,29616.7510790832,-2.0194322034757,0.0442454717451721
sg_ufTO,-19863.392320883,19800.2967849848,-1.00318659546285,0.316501433545349
ds_estado_civilsolteiro,8784.84232908267,8795.15330046033,0.998827653023726,0.318605612246788
ds_grau_instrucaosuperior,-4922.86125047656,9329.4753622465,-0.527667533203191,0.598082572334369
sg_partido_2018DEM,33782.783731983,15098.8594763529,2.23743944268717,0.0259207247093005
sg_partido_2018MDB,19324.4089574018,27421.725286504,0.704711638509214,0.481483762295447
sg_partido_2018PATRIOTA,31739.5133491158,18963.3875010603,1.67372592831007,0.0951263004863853
sg_partido_2018PC do B,55743.0185543774,20502.4112896183,2.71885183488655,0.00689515568697097
sg_partido_2018PDT,62106.5123592631,11036.8308202858,5.62720525217353,3.89746561263509e-08
sg_partido_2018PHS,111596.577615156,14848.6245582115,7.51561716559406,5.31275681534009e-13
sg_partido_2018PODE,74100.4401352993,10644.2530119004,6.96154441767348,1.80734257677521e-11
sg_partido_2018PP,49768.5175445456,15534.3990864393,3.20376200377076,0.00148797153443547
sg_partido_2018PPL,87714.5780477414,33750.4326272213,2.5989171462352,0.00976903202000105
sg_partido_2018PPS,42418.8314131269,11797.8571885745,3.59546913775216,0.000372955468288338
sg_partido_2018PR,134716.509169262,26865.5209957321,5.01447595937793,8.67418885117185e-07
sg_partido_2018PRB,96821.277812839,44732.0056840279,2.16447432508957,0.0311403520047507
sg_partido_2018PROS,63519.272789777,10480.4382547522,6.06074586250965,3.67808567760588e-09
sg_partido_2018PSB,49773.0971509964,10292.8647433946,4.83568942095913,2.03330942178141e-06
sg_partido_2018PSC,-3310.52267222919,10366.1221966727,-0.319359796211141,0.749654545490208
sg_partido_2018PSD,47807.598272034,10996.7320275494,4.34743687054161,1.83406757495604e-05
sg_partido_2018PSDB,5011.26618957938,13057.5654915789,0.383782581279127,0.701385257930966
sg_partido_2018PSL,606070.711009006,14534.1202948233,41.6998551487754,5.08175934220611e-134
sg_partido_2018PSOL,50852.0910551819,15257.8178521354,3.33285477307393,0.00095659704643897
sg_partido_2018PT,55390.0301713984,11313.8373452902,4.89577748741954,1.53126823723178e-06
sg_partido_2018PTB,27406.6980801545,20529.9421255369,1.33496226694491,0.182803373035703
sg_partido_2018PV,55442.8761407423,13358.5027329853,4.15038101566884,4.22284422119238e-05
sg_partido_2018REDE,8418.08083904714,14164.6200980743,0.594303326228394,0.552714010085167
sg_partido_2018SOLIDARIEDADE,44575.5901376916,27633.0515253895,1.61312586475421,0.107667242812425
log(total_vr_receita_candidato),8389.41216212491,14250.1901743287,0.58872282120404,0.5564475457098
log(total_qt_votos_nominais_2014),90205.9883156701,14569.136773025,6.19158085485805,1.7578710443242e-09
